country,continent,trust,race,religion,drinkers,immigrants,aids,addicts,homo,,,,
Andorra,Europe,20,2.6,2.3,53.4,2.4,6.8,56.9,5.5,,,,
Argentina,Americas,17.4,2.3,1.4,36.5,2.8,7.2,55.1,16.4,,,,
Australia,Oceania,45.6,4.5,2.8,74.3,5.6,16.2,92.4,21.2,,,,
Brazil,Americas,9.2,4.4,5.8,50,6.7,14.7,68,21.6,,,,
Bulgaria,Europe,19.6,20.1,15,65,17.6,51,79.8,49.7,,,,
Burkina Faso,Africa,13.8,10,,,11.5,29.4,88.7,80.5,,,,
Canada,Americas,41.8,2.2,2.1,62.4,4.1,12,80.9,14,,,,
Chile,Americas,12.4,8.5,5.9,58.6,9.5,22.3,76.2,34.1,,,,
China,Asia,49.3,12.6,15.7,72.2,17.2,74.5,92.9,69.6,,,,
Cyprus,Europe,9.7,15.6,15.4,55.8,20.7,42.5,73.4,45.1,,,,
Ethiopia,Africa,21.4,16.6,15.4,57.6,14.7,13.9,84.9,82.2,,,,
Finland,Europe,58,11.4,9.7,68.7,15.9,19,82.9,21.9,,,,
France,Europe,18.7,22.6,25.6,72,36.5,31.6,75.3,28.8,,,,
Georgia,Asia,17.6,24.3,36,83.3,23.9,84.1,95.9,92,,,,
Germany,Europe,33.8,7.2,4.3,66.2,13.3,15.4,62.6,14.6,,,,
Ghana,Africa,8.5,22.4,24.2,70.5,25.8,47.1,80.1,79,,,,
Great Britain,Europe,30,4.8,,,14.2,12.1,84.3,16.8,,,,
Guatemala,Americas,14.9,4.6,,43.9,4,26.2,54.6,15.5,,,,
Hong Kong,Asia,40.3,26.8,,82.8,20.5,55.4,88.7,50,,,,
Hungary,Europe,28.7,15.6,5.5,74.4,23.8,40.8,79,39.7,,,,
India,Asia,20.7,43.5,43.9,48.4,35,43.7,53.8,40.3,,,,
Indonesia,Oceania,37.5,30.7,33,67.7,34.2,54.4,69.5,65.9,,,,
Iran,Asia,10.5,31.2,37.9,90.9,58.9,85.9,93.8,92.4,,,,
Italy,Europe,27.5,11.1,10,50.6,13.9,30.8,61.4,21.7,,,,
Jordan,Europe,30.7,51.5,50.2,94.8,66.3,94.9,96.5,95.1,,,,
Malaysia,Europe,8.8,20.6,22.4,72.6,56.6,69.8,87.3,70.5,,,,
Mali,Africa,14.9,22,24.1,65.2,24.5,41.6,76.3,66.2,,,,
Mexico,Europe,15.4,8.3,13.5,49.7,9.7,20.6,77.4,29.8,,,,
Moldova,Africa,17.6,23.7,25.4,81,18.8,69.1,87.4,70.4,,,,
Netherlands,Americas,42.6,7.7,2.8,74.7,8.9,10,86.7,4.5,,,,
New Zealand,Americas,48.5,4.1,,63.8,7.3,20.1,81,17.3,,,,
Norway,Europe,73.7,2.8,2.6,34.4,5.4,6.4,62.2,5.7,,,,
Peru,Europe,6.2,6,7.3,50.9,6,25.1,80.3,41.9,,,,
Poland,Europe,18.1,12.4,10.5,72.4,13.7,38,77.3,51.3,,,,
Romania,Europe,19.3,17.8,14.9,66.5,16.3,37.3,73.9,59.1,,,,
Russia,Asia,24.6,16.7,15.6,88.6,31.9,58.5,94,66,,,,
Rwanda,Africa,4.8,36.8,36.1,55.1,36,38.4,62.2,62.6,,,,
Serbia,Europe,13.6,18,13.9,70.7,24.4,57.9,89.8,68.7,,,,
Slovenia,Europe,17.5,14.5,13,63.5,17.6,31,68.1,35.1,,,,
South Korea,Europe,28,36.3,26.1,,38.4,93.3,98.3,86.9,,,,
Spain,Europe,19.8,6.8,5.7,38.3,6.5,16.2,64.3,7.4,,,,
Sweden,Europe,65.2,1.4,1.2,53.7,1.8,5,77.2,3.6,,,,
Switzerland,Europe,51.2,5.4,4.4,73.7,6.9,8.8,64.8,10.8,,,,
Taiwan,Asia,24.2,8.1,4.9,,24.1,72.9,96.6,55.4,,,,
Thailand,Asia,41.3,27.2,27,66.4,43.1,57.2,89.8,33.4,,,,
Trinidad and Tobago,Americas,3.8,2.5,2.1,62.7,4.8,20.4,92,65.7,,,,
Turkey,Europe,4.8,29.9,33.4,85.2,30.6,78.2,95.8,88,,,,
Ukraine,Europe,24.5,11.8,12.8,81.4,18.6,50.5,89.7,57.9,,,,
United States,Americas,39.1,4,2.5,70.1,12.7,15.3,90.2,24.9,,,,
Uruguay,Americas,24.6,3.9,6,49.7,5.2,11.3,50.1,16.2,,,,
Vietnam,Asia,50.9,35.1,,33.2,37,45.5,42.7,29.1,,,,
Zambia,Africa,10.8,29.5,26.1,,27.5,17.7,82.9,73.3,,,,
