country,continent,trust,race,religion,drinkers,immigrants,aids,addicts,homo,,,,
Sweden,Europe,63.7,2.5,,,2.8,6.7,60.4,6.1,,,,
China,Asia,52.5,14.6,,,16,79.4,90.1,73.2,,,,
Iran,Asia,49.6,24.2,20.1,,9.6,0.5,1.2,0.9,,,,
Indonesia,Oceania,45.7,34.8,37.8,,40.4,52.2,59.7,54.8,,,,
India,Asia,38.9,41.8,40.4,,38.2,39.4,44.1,28.8,,,,
Vietnam,Asia,38.7,32.2,,,32.9,33.1,53.6,38.6,,,,
Canada,Americas,38.4,3.4,,,4.2,12.4,64.2,16.9,,,,
Egypt,Africa,37.5,34.2,,,57.7,98.3,99.2,99.6,,,,
United States,Americas,35.5,8,,,10.1,16.8,73.7,23.3,,,,
Montenegro,Europe,32.9,19.1,,,20.1,76.1,86.1,73.7,,,,
Spain,Europe,32.7,11.5,,,10.8,20.4,52.8,14.8,,,,
Pakistan,Asia,28.1,6.5,8.4,,29.1,7,58.8,0,,,,
South Korea,Asia,27.3,34.7,,,46.8,89.4,93.4,82.4,,,,
Jordan,Asia,27.1,20,32.5,,39.9,95.5,98.8,98.4,,,,
Nigeria,Africa,25.3,30.4,29.3,,28,67.5,74.3,73.6,,,,
Bangladesh,Asia,23.3,71.7,65.9,,67.1,5.7,1.9,4.9,,,,
Albania,Europe,23.2,30.4,,,16.5,69.9,84.6,82.6,,,,
Morocco,Africa,23,13.7,,,19.1,81,92.9,93,,,,
Puerto Rico,Americas,22.4,4.4,,,5.6,12.4,46.8,21.9,,,,
Chile,Americas,22.2,9,,,10.7,23.9,52.6,32.8,,,,
Mexico,Americas,20.8,15.2,,,14.3,33.6,67.9,44.6,,,,
Turkey,Europe,18.6,31,35.1,,37,83.6,94.5,90.3,,,,
Serbia,Europe,18.3,6.1,,,7.8,51.1,70.2,49.1,,,,
Singapore,Asia,16.7,4.7,,,25.9,35.2,72.5,45.7,,,,
Kyrgyzstan,Asia,16.6,18.4,,,19.8,64.4,81,66,,,,
Venezuela,Americas,15.8,15.5,17.2,,17.9,43.5,72.8,57.4,,,,
Bosnia Herzegovina,Europe,15.6,13.2,,,24.8,59.8,81.5,64.2,,,,
Argentina,Americas,15,4.5,,,5.9,11.6,31.7,22.1,,,,
Moldova,Europe,14.1,11,,,18.8,66.1,90.6,77.4,,,,
Macedonia,Europe,13.1,19,,,18.6,52.1,73.1,53.5,,,,
Zimbabwe,Africa,11.7,19.8,,,20.5,30.3,63.9,66.5,,,,
South Africa,Africa,11.5,23.6,,,30.6,26.6,62.4,46.2,,,,
Algeria,Africa,10.8,28,32.1,,23.5,68.3,76.8,80.7,,,,
Peru,Americas,10.6,11.2,,,10.9,28.5,66.4,49.2,,,,
Philippines,Oceania,8.3,21.3,,,15.3,62.2,81.8,23.6,,,,
Tanzania,Africa,7.7,16.7,,,17.5,32.5,81.2,74.1,,,,
Uganda,Africa,7.6,18.2,,,13,17,86.7,76.1,,,,
